,productdescriptions,descriptions,ASINS,manufacturers,names,prices,reviews,links
10,"
  Is Discontinued By Manufacturer
                                    ‏
                                        :
                                    ‎
                                 No   Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 28 x 27 x 47 cm; 900 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 20 December 2018   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Fur Jaden   ASIN
                                    ‏
                                        :
                                    ‎
                                 B07M9BRCQ5   Item model number
                                    ‏
                                        :
                                    ‎
                                 DUFF05   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028   Item Weight
                                    ‏
                                        :
                                    ‎
                                 900 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 28 x 27 x 47 Centimeters   Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1 count   Included Components
                                    ‏
                                        :
                                    ‎
                                 1 Duffle Bag   Generic Name
                                    ‏
                                        :
                                    ‎
                                 Duffle Bag   ","Name =         Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel       , Price=889.",‏ ‎ B07M9BRCQ5,"‏ ‎ Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",        Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel       ,889.,"5,313",https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675320591&sprefix=ba%2Caps%2C283&sr=8-8s
11,"
  Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 36.8 x 22.9 x 50.8 cm; 900 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 6 July 2021   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Wesley   ASIN
                                    ‏
                                        :
                                    ‎
                                 B098QFF5TJ   Item model number
                                    ‏
                                        :
                                    ‎
                                 Spartan Hiking   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Unisex-adult   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507   Packer
                                    ‏
                                        :
                                    ‎
                                 Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507   Item Weight
                                    ‏
                                        :
                                    ‎
                                 900 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 36.8 x 22.9 x 50.8 Centimeters   Included Components
                                    ‏
                                        :
                                    ‎
                                 Backpack, Raincover   Generic Name
                                    ‏
                                        :
                                    ‎
                                 LAPTOP BACKPACK   ","Name =         Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag       , Price=798",‏ ‎ B098QFF5TJ,"‏ ‎ Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507",        Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag       ,798,911,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675320591&sprefix=ba%2Caps%2C283&sr=8-9s
12,"
  Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 32 x 46 x 16 cm; 350 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 22 July 2021   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Safari Industries   ASIN
                                    ‏
                                        :
                                    ‎
                                 B09B26VHXV   Item model number
                                    ‏
                                        :
                                    ‎
                                 FLASH19CBBLU   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Unisex-adult   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Packer
                                    ‏
                                        :
                                    ‎
                                 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Importer
                                    ‏
                                        :
                                    ‎
                                 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Item Weight
                                    ‏
                                        :
                                    ‎
                                 350 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 32 x 46 x 16 Centimeters   Generic Name
                                    ‏
                                        :
                                    ‎
                                 Backpack   ","Name =         Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping       , Price=699.",‏ ‎ B09B26VHXV,"‏ ‎ Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059","        Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping       ",699.,"2,180",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675320591&sprefix=ba%2Caps%2C283&sr=8-10s
13,"
  Package Dimensions
                                    ‏
                                        :
                                    ‎
                                 41 x 36 x 3.5 cm; 460 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 4 October 2022   ASIN
                                    ‏
                                        :
                                    ‎
                                 B0BH8S9QGH   Item model number
                                    ‏
                                        :
                                    ‎
                                 ANTI-01   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Unisex-adult   Item Weight
                                    ‏
                                        :
                                    ‎
                                 460 g   ","Name =         NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey)       , Price=599",‏ ‎ B0BH8S9QGH,Not Found,        NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey)       ,599,33,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzU4MDI3ODM4MjQ1MDk2OjE2NzUzMjA1OTE6c3BfbXRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675320591%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1s
14,Not Found,"Name =         Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)       , Price=349.",Not Found,Not Found,"        Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)       ",349.,"7,623",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675320591&sprefix=ba%2Caps%2C283&sr=8-13s
15,Not Found,"Name =         Kuber Industries Women's Handkerchief Set (Cream)       , Price=312.",Not Found,Not Found,        Kuber Industries Women's Handkerchief Set (Cream)       ,312.,472,https://www.amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082VDVJGM&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082VDVJGM&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=h2IZA&pd_rd_wg=RGJgB&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21s
16,Not Found,"Name =         Kuber Industries Women's Handkerchief Set (Cream)       , Price=312.",Not Found,Not Found,        Kuber Industries Women's Handkerchief Set (Cream)       ,312.,472,https://www.amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082VDVJGM&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082VDVJGM&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=h2IZA&pd_rd_wg=RGJgB&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21s
17,"
  Package Dimensions
                                    ‏
                                        :
                                    ‎
                                 39.2 x 26.5 x 11 cm; 870 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 20 December 2019   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Fiesto Fashion   ASIN
                                    ‏
                                        :
                                    ‎
                                 B082Z33ZDS   Item part number
                                    ‏
                                        :
                                    ‎
                                 FIESTO33   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Women   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Fiesto Fashion   Item Weight
                                    ‏
                                        :
                                    ‎
                                 870 g   Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1.00 count   Included Components
                                    ‏
                                        :
                                    ‎
                                 Handbag   ","Name =         Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3)       , Price=615",‏ ‎ B082Z33ZDS,‏ ‎ Fiesto Fashion,        Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3)       ,615,"4,071",https://www.amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082Z33ZDS&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082Z33ZDS&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=h2IZA&pd_rd_wg=RGJgB&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21s
18,"
  Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 17.78 x 7.62 x 17.78 cm; 290 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 31 December 2020   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 ADISA   ASIN
                                    ‏
                                        :
                                    ‎
                                 B08RWBP3H2   Item model number
                                    ‏
                                        :
                                    ‎
                                 SL5058   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Women   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 ADISA   Item Weight
                                    ‏
                                        :
                                    ‎
                                 290 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 17.8 x 7.6 x 17.8 Centimeters   Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1.00 Handbag   Included Components
                                    ‏
                                        :
                                    ‎
                                 Sling Bag   Generic Name
                                    ‏
                                        :
                                    ‎
                                 Sling Bag   ","Name =         ADISA women girls embroided sling bag       , Price=495.",‏ ‎ B08RWBP3H2,‏ ‎ ADISA,        ADISA women girls embroided sling bag       ,495.,"1,412",https://www.amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B08RWBP3H2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B08RWBP3H2&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=h2IZA&pd_rd_wg=RGJgB&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21s
19,"
  Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 33 x 13 x 27 cm; 0.9 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 15 May 2019   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Coalescent India   ASIN
                                    ‏
                                        :
                                    ‎
                                 B07RXYSJHF   Item model number
                                    ‏
                                        :
                                    ‎
                                 LLHB0039GY   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Women   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Coalescent India   Item Weight
                                    ‏
                                        :
                                    ‎
                                 0.9 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 33 x 13 x 27 Centimeters   Included Components
                                    ‏
                                        :
                                    ‎
                                 Handbag   ","Name =         Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle       , Price=1,039",‏ ‎ B07RXYSJHF,‏ ‎ Coalescent India,        Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle       ,"1,039","3,600",https://www.amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=h2IZA&pd_rd_wg=RGJgB&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21s
20,"
  Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 8 x 30 x 38 cm; 35 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 21 June 2021   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Vancouver Store   ASIN
                                    ‏
                                        :
                                    ‎
                                 B097NH6X4C   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Vancouver Store, Vancouver.store013@gmail.com   Item Weight
                                    ‏
                                        :
                                    ‎
                                 35 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 8 x 30 x 38 Centimeters   ","Name =         Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Konggi Rabbit & Spiderman       , Price=399.",‏ ‎ B097NH6X4C,"‏ ‎ Vancouver Store, Vancouver.store013@gmail.com",        Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Konggi Rabbit & Spiderman       ,399.,7,https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B097NH6X4C/ref=sxin_25_trfob_0_B097NH6X4C?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NH6X4C&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=jQVoQ&pd_rd_wg=RGJgB&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86as
21,"
  Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 8 x 30 x 38 cm; 35 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 21 June 2021   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Vancouver Store   ASIN
                                    ‏
                                        :
                                    ‎
                                 B097NH6X4C   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Vancouver Store, Vancouver.store013@gmail.com   Item Weight
                                    ‏
                                        :
                                    ‎
                                 35 g   Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 8 x 30 x 38 Centimeters   ","Name =         Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Konggi Rabbit & Spiderman       , Price=399.",‏ ‎ B097NH6X4C,"‏ ‎ Vancouver Store, Vancouver.store013@gmail.com",        Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Konggi Rabbit & Spiderman       ,399.,7,https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B097NH6X4C/ref=sxin_25_trfob_0_B097NH6X4C?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NH6X4C&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=jQVoQ&pd_rd_wg=RGJgB&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86as
22,Not Found,"Name =         Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2)       , Price=399.",Not Found,Not Found,        Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2)       ,399.,4,https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_25_trfob_1_B08WWG91Q3?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=jQVoQ&pd_rd_wg=RGJgB&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86as
23,"
  Is Discontinued By Manufacturer
                                    ‏
                                        :
                                    ‎
                                 No   Package Dimensions
                                    ‏
                                        :
                                    ‎
                                 31.4 x 19.7 x 5.1 cm; 250 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 23 September 2018   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Blue Tree   ASIN
                                    ‏
                                        :
                                    ‎
                                 B07HLYW3FF   Item part number
                                    ‏
                                        :
                                    ‎
                                 bluetree_backpacks_034   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India   Department
                                    ‏
                                        :
                                    ‎
                                 Unisex-child   Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Blue Tree   Item Weight
                                    ‏
                                        :
                                    ‎
                                 250 g   ","Name =         Blue Tree 10 LTR Velvet School Backpack       , Price=288.",‏ ‎ B07HLYW3FF,‏ ‎ Blue Tree,        Blue Tree 10 LTR Velvet School Backpack       ,288.,"1,044",https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_25_trfob_2_B07HLYW3FF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=jQVoQ&pd_rd_wg=RGJgB&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86as
24,"
  Package Dimensions
                                    ‏
                                        :
                                    ‎
                                 36.1 x 5.9 x 4.6 cm; 200 Grams   Date First Available
                                    ‏
                                        :
                                    ‎
                                 11 February 2022   ASIN
                                    ‏
                                        :
                                    ‎
                                 B09SB5DP5Y   Item model number
                                    ‏
                                        :
                                    ‎
                                 Draw String Bag 30x40 set of 10   Country of Origin
                                    ‏
                                        :
                                    ‎
                                 China   Department
                                    ‏
                                        :
                                    ‎
                                 unisex-adult   Item Weight
                                    ‏
                                        :
                                    ‎
                                 200 g   ","Name =         MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent       , Price=399.",‏ ‎ B09SB5DP5Y,Not Found,"        MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent       ",399.,46,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_25_trfob_3_B09SB5DP5Y?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=jQVoQ&pd_rd_wg=RGJgB&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86as
25,Not Found,"Name =         Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment       , Price=549.",Not Found,Not Found,        Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment       ,549.,91,https://www.amazon.in/Amazon-Brand-Solimo-so_flingyrqba_6-Gym/dp/B084DQ182R/ref=sxin_25_trfob_4_B084DQ182R?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B084DQ182R&pd_rd_r=25fc97c3-ab6d-4379-95b7-fd73cc295054&pd_rd_w=jQVoQ&pd_rd_wg=RGJgB&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YJ1930STKMK4V8R747SH&qid=1675320591&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86as
